,name,share_code,industry,industry_code
0,广晟有色金属股份有限公司,600259,有色金属矿采选业,B09
1,西藏珠峰资源股份有限公司,600338,有色金属矿采选业,B09
2,中金黄金股份有限公司,600489,有色金属矿采选业,B09
3,云南驰宏锌锗股份有限公司,600497,有色金属矿采选业,B09
4,山东黄金矿业股份有限公司,600547,有色金属矿采选业,B09
5,盛屯矿业集团股份有限公司,600711,有色金属矿采选业,B09
6,赤峰吉隆黄金矿业股份有限公司,600988,有色金属矿采选业,B09
7,西藏华钰矿业股份有限公司,601020,有色金属矿采选业,B09
8,西部黄金股份有限公司,601069,有色金属矿采选业,B09
9,西部矿业股份有限公司,601168,有色金属矿采选业,B09
10,紫金矿业集团股份有限公司,601899,有色金属矿采选业,B09
11,金堆城钼业股份有限公司,601958,有色金属矿采选业,B09
12,金徽矿业股份有限公司,603132,有色金属矿采选业,B09
13,洛阳栾川钼业集团股份有限公司,603993,有色金属矿采选业,B09
