,name,share_code,industry,industry_code
0,诺德新材料股份有限公司,600110,有色金属冶炼和压延加工业,C32
1,中国北方稀土(集团)高科技股份有限公司,600111,有色金属冶炼和压延加工业,C32
2,有研新材料股份有限公司,600206,有色金属冶炼和压延加工业,C32
3,山东南山铝业股份有限公司,600219,有色金属冶炼和压延加工业,C32
4,安徽鑫科新材料股份有限公司,600255,有色金属冶炼和压延加工业,C32
5,山西华阳新材料股份有限公司,600281,有色金属冶炼和压延加工业,C32
6,四川宏达股份有限公司,600331,有色金属冶炼和压延加工业,C32
7,江西铜业股份有限公司,600362,有色金属冶炼和压延加工业,C32
8,盛和资源控股股份有限公司,600392,有色金属冶炼和压延加工业,C32
9,宝鸡钛业股份有限公司,600456,有色金属冶炼和压延加工业,C32
10,贵研铂业股份有限公司,600459,有色金属冶炼和压延加工业,C32
11,鹏欣环球资源股份有限公司,600490,有色金属冶炼和压延加工业,C32
12,河南豫光金铅股份有限公司,600531,有色金属冶炼和压延加工业,C32
13,厦门钨业股份有限公司,600549,有色金属冶炼和压延加工业,C32
14,河南中孚实业股份有限公司,600595,有色金属冶炼和压延加工业,C32
15,宁波富邦精业集团股份有限公司,600768,有色金属冶炼和压延加工业,C32
16,株洲冶炼集团股份有限公司,600961,有色金属冶炼和压延加工业,C32
17,宁波博威合金材料股份有限公司,601137,有色金属冶炼和压延加工业,C32
18,白银有色集团股份有限公司,601212,有色金属冶炼和压延加工业,C32
19,怡球金属资源再生(中国)股份有限公司,601388,有色金属冶炼和压延加工业,C32
20,中国铝业股份有限公司,601600,有色金属冶炼和压延加工业,C32
21,宁波金田铜业(集团)股份有限公司,601609,有色金属冶炼和压延加工业,C32
22,河南明泰铝业股份有限公司,601677,有色金属冶炼和压延加工业,C32
23,上海华峰铝业股份有限公司,601702,有色金属冶炼和压延加工业,C32
24,锦州吉翔钼业股份有限公司,603399,有色金属冶炼和压延加工业,C32
25,安徽众源新材料股份有限公司,603527,有色金属冶炼和压延加工业,C32
26,浙江华友钴业股份有限公司,603799,有色金属冶炼和压延加工业,C32
27,江苏鼎胜新能源材料股份有限公司,603876,有色金属冶炼和压延加工业,C32
28,深圳市新星轻合金材料股份有限公司,603978,有色金属冶炼和压延加工业,C32
29,上海永茂泰汽车科技股份有限公司,605208,有色金属冶炼和压延加工业,C32
30,陕西斯瑞新材料股份有限公司,688102,有色金属冶炼和压延加工业,C32
31,西部超导材料科技股份有限公司,688122,有色金属冶炼和压延加工业,C32
32,江苏隆达超合金股份有限公司,688231,有色金属冶炼和压延加工业,C32
33,苏州新锐合金工具股份有限公司,688257,有色金属冶炼和压延加工业,C32
