,name,share_code,industry,industry_code
0,四川路桥建设集团股份有限公司,600039,土木工程建筑业,E48
1,中船科技股份有限公司,600072,土木工程建筑业,E48
2,武汉东湖高新集团股份有限公司,600133,土木工程建筑业,E48
3,上海建工集团股份有限公司,600170,土木工程建筑业,E48
4,陕西建工集团股份有限公司,600248,土木工程建筑业,E48
5,上海浦东建设股份有限公司,600284,土木工程建筑业,E48
6,北京空港科技园区股份有限公司,600463,土木工程建筑业,E48
7,龙元建设集团股份有限公司,600491,土木工程建筑业,E48
8,安徽建工集团股份有限公司,600502,土木工程建筑业,E48
9,腾达建设集团股份有限公司,600512,土木工程建筑业,E48
10,绿地控股集团股份有限公司,600606,土木工程建筑业,E48
11,无锡市太极实业股份有限公司,600667,土木工程建筑业,E48
12,上海隧道工程股份有限公司,600820,土木工程建筑业,E48
13,上海同济科技实业股份有限公司,600846,土木工程建筑业,E48
14,龙建路桥股份有限公司,600853,土木工程建筑业,E48
15,中国中材国际工程股份有限公司,600970,土木工程建筑业,E48
16,中铝国际工程股份有限公司,601068,土木工程建筑业,E48
17,中国化学工程股份有限公司,601117,土木工程建筑业,E48
18,中国铁建股份有限公司,601186,土木工程建筑业,E48
19,中国中铁股份有限公司,601390,土木工程建筑业,E48
20,国机重型装备集团股份有限公司,601399,土木工程建筑业,E48
21,中国核工业建设股份有限公司,601611,土木工程建筑业,E48
22,中国冶金科工股份有限公司,601618,土木工程建筑业,E48
23,中国建筑股份有限公司,601668,土木工程建筑业,E48
24,中国电力建设股份有限公司,601669,土木工程建筑业,E48
25,宁波建工股份有限公司,601789,土木工程建筑业,E48
26,中国交通建设股份有限公司,601800,土木工程建筑业,E48
27,中国能源建设股份有限公司,601868,土木工程建筑业,E48
28,花王生态工程股份有限公司,603007,土木工程建筑业,E48
29,汇通建设集团股份有限公司,603176,土木工程建筑业,E48
30,诚邦生态环境股份有限公司,603316,土木工程建筑业,E48
31,元成环境股份有限公司,603388,土木工程建筑业,E48
32,镇海石化工程股份有限公司,603637,土木工程建筑业,E48
33,天域生态环境股份有限公司,603717,土木工程建筑业,E48
34,北京乾景园林股份有限公司,603778,土木工程建筑业,E48
35,安徽省交通建设股份有限公司,603815,土木工程建筑业,E48
36,正平路桥建设股份有限公司,603843,土木工程建筑业,E48
37,大千生态环境集团股份有限公司,603955,土木工程建筑业,E48
38,湖南百利工程科技股份有限公司,603959,土木工程建筑业,E48
39,杭州市园林绿化股份有限公司,605303,土木工程建筑业,E48
40,上海港湾基础建设(集团)股份有限公司,605598,土木工程建筑业,E48
