,name,share_code,industry,industry_code
0,江苏宏图高科技股份有限公司,600122,零售业,F52
1,上海开开实业股份有限公司,600272,零售业,F52
2,南京中央商场(集团)股份有限公司,600280,零售业,F52
3,广汇汽车服务集团股份公司,600297,零售业,F52
4,沈阳商业城股份有限公司,600306,零售业,F52
5,无锡商业大厦大东方股份有限公司,600327,零售业,F52
6,美克国际家居用品股份有限公司,600337,零售业,F52
7,创新新材料科技股份有限公司,600361,零售业,F52
8,北京巴士传媒股份有限公司,600386,零售业,F52
9,上海新世界股份有限公司,600628,零售业,F52
10,辽宁申华控股股份有限公司,600653,零售业,F52
11,上海豫园旅游商城(集团)股份有限公司,600655,零售业,F52
12,南京新街口百货商店股份有限公司,600682,零售业,F52
13,福建东百集团股份有限公司,600693,零售业,F52
14,大商股份有限公司,600694,零售业,F52
15,长春欧亚集团股份有限公司,600697,零售业,F52
16,南宁百货大楼股份有限公司,600712,零售业,F52
17,南京医药股份有限公司,600713,零售业,F52
18,重庆百货大楼股份有限公司,600729,零售业,F52
19,兰州丽尚国潮实业集团股份有限公司,600738,零售业,F52
20,汉商集团股份有限公司,600774,零售业,F52
21,新疆友好(集团)股份有限公司,600778,零售业,F52
22,银川新华百货商业集团股份有限公司,600785,零售业,F52
23,杭州解百集团股份有限公司,600814,零售业,F52
24,上海益民商业集团股份有限公司,600824,零售业,F52
25,上海百联集团股份有限公司,600827,零售业,F52
26,茂业商业股份有限公司,600828,零售业,F52
27,上海第一医药股份有限公司,600833,零售业,F52
28,上海九百股份有限公司,600838,零售业,F52
29,宁波中百股份有限公司,600857,零售业,F52
30,银座集团股份有限公司,600858,零售业,F52
31,王府井集团股份有限公司,600859,零售业,F52
32,北京城乡商业(集团)股份有限公司,600861,零售业,F52
33,百大集团股份有限公司,600865,零售业,F52
34,中国黄金集团黄金珠宝股份有限公司,600916,零售业,F52
35,健民药业集团股份有限公司,600976,零售业,F52
36,文峰大世界连锁发展股份有限公司,601010,零售业,F52
37,甘肃国芳工贸(集团)股份有限公司,601086,零售业,F52
38,三江购物俱乐部股份有限公司,601116,零售业,F52
39,庞大汽贸集团股份有限公司,601258,零售业,F52
40,利群商业集团股份有限公司,601366,零售业,F52
41,上海医药集团股份有限公司,601607,零售业,F52
42,永辉超市股份有限公司,601933,零售业,F52
43,安徽安孚电池科技股份有限公司,603031,零售业,F52
44,新疆汇嘉时代百货股份有限公司,603101,零售业,F52
45,北京翠微大厦股份有限公司,603123,零售业,F52
46,上海爱婴室商务服务股份有限公司,603214,零售业,F52
47,大参林医药集团股份有限公司,603233,零售业,F52
48,湖南和顺石油股份有限公司,603353,零售业,F52
49,家家悦集团股份有限公司,603708,零售业,F52
50,良品铺子股份有限公司,603719,零售业,F52
51,上海来伊份股份有限公司,603777,零售业,F52
52,老百姓大药房连锁股份有限公司,603883,零售业,F52
53,莱绅通灵珠宝股份有限公司,603900,零售业,F52
54,益丰大药房连锁股份有限公司,603939,零售业,F52
55,上海丽人丽妆化妆品股份有限公司,605136,零售业,F52
56,江西国光商业连锁股份有限公司,605188,零售业,F52
57,健之佳医药连锁集团股份有限公司,605266,零售业,F52
58,北京菜市口百货股份有限公司,605599,零售业,F52
