,name,share_code,industry,industry_code
0,日照港股份有限公司,600017,水上运输业,G55
1,上海国际港务(集团)股份有限公司,600018,水上运输业,G55
2,中远海运能源运输股份有限公司,600026,水上运输业,G55
3,锦州港股份有限公司,600190,水上运输业,G55
4,重庆港股份有限公司,600279,水上运输业,G55
5,中远海运特种运输股份有限公司,600428,水上运输业,G55
6,淮河能源(集团)股份有限公司,600575,水上运输业,G55
7,天津港股份有限公司,600717,水上运输业,G55
8,宁波海运股份有限公司,600798,水上运输业,G55
9,唐山港集团股份有限公司,601000,水上运输业,G55
10,江苏连云港港口股份有限公司,601008,水上运输业,G55
11,宁波舟山港股份有限公司,601018,水上运输业,G55
12,宁波远洋运输股份有限公司,601022,水上运输业,G55
13,广州港股份有限公司,601228,水上运输业,G55
14,青岛港国际股份有限公司,601298,水上运输业,G55
15,秦皇岛港股份有限公司,601326,水上运输业,G55
16,中远海运发展股份有限公司,601866,水上运输业,G55
17,招商局能源运输股份有限公司,601872,水上运输业,G55
18,辽宁港口股份有限公司,601880,水上运输业,G55
19,中远海运控股股份有限公司,601919,水上运输业,G55
20,招商局南京油运股份有限公司,601975,水上运输业,G55
21,福建海通发展股份有限公司,603162,水上运输业,G55
22,渤海轮渡集团股份有限公司,603167,水上运输业,G55
23,兴通海运股份有限公司,603209,水上运输业,G55
24,上海中谷物流股份有限公司,603565,水上运输业,G55
