,name,share_code,industry,industry_code
0,国网信息通信股份有限公司,600131,软件和信息技术服务业,I65
1,亿阳信通股份有限公司,600289,软件和信息技术服务业,I65
2,国电南瑞科技股份有限公司,600406,软件和信息技术服务业,I65
3,北京华胜天成科技股份有限公司,600410,软件和信息技术服务业,I65
4,深圳市金证科技股份有限公司,600446,软件和信息技术服务业,I65
5,湖南湘邮科技股份有限公司,600476,软件和信息技术服务业,I65
6,中国软件与技术服务股份有限公司,600536,软件和信息技术服务业,I65
7,恒生电子股份有限公司,600570,软件和信息技术服务业,I65
8,信雅达科技股份有限公司,600571,软件和信息技术服务业,I65
9,用友网络科技股份有限公司,600588,软件和信息技术服务业,I65
10,云赛智联股份有限公司,600602,软件和信息技术服务业,I65
11,国新文化控股股份有限公司,600636,软件和信息技术服务业,I65
12,中安科股份有限公司,600654,软件和信息技术服务业,I65
13,东软集团股份有限公司,600718,软件和信息技术服务业,I65
14,佳都科技集团股份有限公司,600728,软件和信息技术服务业,I65
15,浪潮软件股份有限公司,600756,软件和信息技术服务业,I65
16,运盛(成都)医疗科技股份有限公司,600767,软件和信息技术服务业,I65
17,浙大网新科技股份有限公司,600797,软件和信息技术服务业,I65
18,上海宝信软件股份有限公司,600845,软件和信息技术服务业,I65
19,中电科数字技术股份有限公司,600850,软件和信息技术服务业,I65
20,大晟时代文化投资股份有限公司,600892,软件和信息技术服务业,I65
21,上海泛微网络科技股份有限公司,603039,软件和信息技术服务业,I65
22,北京海量数据技术股份有限公司,603138,软件和信息技术服务业,I65
23,税友软件集团股份有限公司,603171,软件和信息技术服务业,I65
24,上海网达软件股份有限公司,603189,软件和信息技术服务业,I65
25,嘉环科技股份有限公司,603206,软件和信息技术服务业,I65
26,中贝通信集团股份有限公司,603220,软件和信息技术服务业,I65
27,格尔软件股份有限公司,603232,软件和信息技术服务业,I65
28,超讯通信股份有限公司,603322,软件和信息技术服务业,I65
29,福建顶点软件股份有限公司,603383,软件和信息技术服务业,I65
30,青岛鼎信通讯股份有限公司,603421,软件和信息技术服务业,I65
31,杭州纵横通信股份有限公司,603602,软件和信息技术服务业,I65
32,南威软件股份有限公司,603636,软件和信息技术服务业,I65
33,新智认知数字科技股份有限公司,603869,软件和信息技术服务业,I65
34,上海城地香江数据科技股份有限公司,603887,软件和信息技术服务业,I65
35,上海金桥信息股份有限公司,603918,软件和信息技术服务业,I65
36,中科软科技股份有限公司,603927,软件和信息技术服务业,I65
37,苏州麦迪斯顿医疗科技股份有限公司,603990,软件和信息技术服务业,I65
38,上海新炬网络信息技术股份有限公司,605398,软件和信息技术服务业,I65
39,北京市博汇科技股份有限公司,688004,软件和信息技术服务业,I65
40,乐鑫信息科技(上海)股份有限公司,688018,软件和信息技术服务业,I65
41,杭州安恒信息技术股份有限公司,688023,软件和信息技术服务业,I65
42,山石网科通信技术股份有限公司,688030,软件和信息技术服务业,I65
43,星环信息科技(上海)股份有限公司,688031,软件和信息技术服务业,I65
44,武汉中科通达高新技术股份有限公司,688038,软件和信息技术服务业,I65
45,杭州当虹科技股份有限公司,688039,软件和信息技术服务业,I65
46,深圳市必易微电子股份有限公司,688045,软件和信息技术服务业,I65
47,罗克佳华科技集团股份有限公司,688051,软件和信息技术服务业,I65
48,苏州纳芯微电子股份有限公司,688052,软件和信息技术服务业,I65
49,北京宝兰德软件股份有限公司,688058,软件和信息技术服务业,I65
50,江苏云涌电子科技股份有限公司,688060,软件和信息技术服务业,I65
51,航天宏图信息技术股份有限公司,688066,软件和信息技术服务业,I65
52,北京龙软科技股份有限公司,688078,软件和信息技术服务业,I65
53,广州中望龙腾软件股份有限公司,688083,软件和信息技术服务业,I65
54,虹软科技股份有限公司,688088,软件和信息技术服务业,I65
55,福建福昕软件开发股份有限公司,688095,软件和信息技术服务业,I65
56,晶晨半导体(上海)股份有限公司,688099,软件和信息技术服务业,I65
57,品茗科技股份有限公司,688109,软件和信息技术服务业,I65
58,北京金山办公软件股份有限公司,688111,软件和信息技术服务业,I65
59,普元信息技术股份有限公司,688118,软件和信息技术服务业,I65
60,杭州晶华微电子股份有限公司,688130,软件和信息技术服务业,I65
61,湖南麒麟信安科技股份有限公司,688152,软件和信息技术服务业,I65
62,北京安博通科技股份有限公司,688168,软件和信息技术服务业,I65
63,广东纬德信息科技股份有限公司,688171,软件和信息技术服务业,I65
64,广东希荻微电子股份有限公司,688173,软件和信息技术服务业,I65
65,上海柏楚电子科技股份有限公司,688188,软件和信息技术服务业,I65
66,智洋创新科技股份有限公司,688191,软件和信息技术服务业,I65
67,北京信安世纪科技股份有限公司,688201,软件和信息技术服务业,I65
68,上海概伦电子股份有限公司,688206,软件和信息技术服务业,I65
69,北京格灵深瞳信息技术股份有限公司,688207,软件和信息技术服务业,I65
70,亚信安全科技股份有限公司,688225,软件和信息技术服务业,I65
71,广州市品高软件股份有限公司,688227,软件和信息技术服务业,I65
72,开普云信息科技股份有限公司,688228,软件和信息技术服务业,I65
73,北京博睿宏远数据科技股份有限公司,688229,软件和信息技术服务业,I65
74,国泰新点软件股份有限公司,688232,软件和信息技术服务业,I65
75,北京永信至诚科技股份有限公司,688244,软件和信息技术服务业,I65
76,嘉和美康(北京)科技股份有限公司,688246,软件和信息技术服务业,I65
77,深圳天德钰科技股份有限公司,688252,软件和信息技术服务业,I65
78,中科寒武纪科技股份有限公司,688256,软件和信息技术服务业,I65
79,江苏卓易信息科技股份有限公司,688258,软件和信息技术服务业,I65
80,创耀(苏州)通信科技股份有限公司,688259,软件和信息技术服务业,I65
81,苏州国芯科技股份有限公司,688262,软件和信息技术服务业,I65
82,峰岹科技(深圳)股份有限公司,688279,软件和信息技术服务业,I65
83,北京金橙子科技股份有限公司,688291,软件和信息技术服务业,I65
84,北京浩瀚深度信息技术股份有限公司,688292,软件和信息技术服务业,I65
85,浙江和达科技股份有限公司,688296,软件和信息技术服务业,I65
86,北京青云科技股份有限公司,688316,软件和信息技术服务业,I65
87,深圳市财富趋势科技股份有限公司,688318,软件和信息技术服务业,I65
88,广东赛微微电子股份有限公司,688325,软件和信息技术服务业,I65
89,云从科技集团股份有限公司,688327,软件和信息技术服务业,I65
90,杭州光云科技股份有限公司,688365,软件和信息技术服务业,I65
91,上海晶丰明源半导体股份有限公司,688368,软件和信息技术服务业,I65
92,北京致远互联软件股份有限公司,688369,软件和信息技术服务业,I65
93,钜泉光电科技(上海)股份有限公司,688391,软件和信息技术服务业,I65
94,上海英方软件股份有限公司,688435,软件和信息技术服务业,I65
95,北京慧辰资道资讯股份有限公司,688500,软件和信息技术服务业,I65
96,无锡芯朋微电子股份有限公司,688508,软件和信息技术服务业,I65
97,芯原微电子(上海)股份有限公司,688521,软件和信息技术服务业,I65
98,思瑞浦微电子科技(苏州)股份有限公司,688536,软件和信息技术服务业,I65
99,泽达易盛(天津)科技股份有限公司,688555,软件和信息技术服务业,I65
100,奇安信科技集团股份有限公司,688561,软件和信息技术服务业,I65
101,中科星图股份有限公司,688568,软件和信息技术服务业,I65
102,山大地纬软件股份有限公司,688579,软件和信息技术服务业,I65
103,苏州工业园区凌志软件股份有限公司,688588,软件和信息技术服务业,I65
104,深圳市力合微电子股份有限公司,688589,软件和信息技术服务业,I65
105,上海新致软件股份有限公司,688590,软件和信息技术服务业,I65
106,罗普特科技集团股份有限公司,688619,软件和信息技术服务业,I65
107,上海霍莱沃电子系统技术股份有限公司,688682,软件和信息技术服务业,I65
108,深圳市明微电子股份有限公司,688699,软件和信息技术服务业,I65
109,浙江中控技术股份有限公司,688777,软件和信息技术服务业,I65
110,北京海天瑞声科技股份有限公司,688787,软件和信息技术服务业,I65
