,name,share_code,industry,industry_code
0,中信证券股份有限公司,600030,资本市场服务,J67
1,国投资本股份有限公司,600061,资本市场服务,J67
2,湘财股份有限公司,600095,资本市场服务,J67
3,国金证券股份有限公司,600109,资本市场服务,J67
4,华创阳安股份有限公司,600155,资本市场服务,J67
5,西南证券股份有限公司,600369,资本市场服务,J67
6,上海华鑫股份有限公司,600621,资本市场服务,J67
7,鲁信创业投资集团股份有限公司,600783,资本市场服务,J67
8,海通证券股份有限公司,600837,资本市场服务,J67
9,哈尔滨哈投投资股份有限公司,600864,资本市场服务,J67
10,财达证券股份有限公司,600906,资本市场服务,J67
11,华安证券股份有限公司,600909,资本市场服务,J67
12,中泰证券股份有限公司,600918,资本市场服务,J67
13,永安期货股份有限公司,600927,资本市场服务,J67
14,东方证券股份有限公司,600958,资本市场服务,J67
15,招商证券股份有限公司,600999,资本市场服务,J67
16,信达证券股份有限公司,601059,资本市场服务,J67
17,中信建投证券股份有限公司,601066,资本市场服务,J67
18,太平洋证券股份有限公司,601099,资本市场服务,J67
19,财通证券股份有限公司,601108,资本市场服务,J67
20,首创证券股份有限公司,601136,资本市场服务,J67
21,天风证券股份有限公司,601162,资本市场服务,J67
22,东兴证券股份有限公司,601198,资本市场服务,J67
23,国泰君安证券股份有限公司,601211,资本市场服务,J67
24,红塔证券股份有限公司,601236,资本市场服务,J67
25,中原证券股份有限公司,601375,资本市场服务,J67
26,兴业证券股份有限公司,601377,资本市场服务,J67
27,国联证券股份有限公司,601456,资本市场服务,J67
28,东吴证券股份有限公司,601555,资本市场服务,J67
29,华泰证券股份有限公司,601688,资本市场服务,J67
30,中银国际证券股份有限公司,601696,资本市场服务,J67
31,光大证券股份有限公司,601788,资本市场服务,J67
32,浙商证券股份有限公司,601878,资本市场服务,J67
33,中国银河证券股份有限公司,601881,资本市场服务,J67
34,方正证券股份有限公司,601901,资本市场服务,J67
35,南京证券股份有限公司,601990,资本市场服务,J67
36,中国国际金融股份有限公司,601995,资本市场服务,J67
37,南华期货股份有限公司,603093,资本市场服务,J67
