,name,share_code,industry,industry_code
0,中国国际贸易中心股份有限公司,600007,房地产业,K70
1,保利发展控股集团股份有限公司,600048,房地产业,K70
2,南京高科股份有限公司,600064,房地产业,K70
3,冠城大通股份有限公司,600067,房地产业,K70
4,宋都基业投资股份有限公司,600077,房地产业,K70
5,上海大名城企业股份有限公司,600094,房地产业,K70
6,北京市大龙伟业房地产开发股份有限公司,600159,房地产业,K70
7,深圳香江控股股份有限公司,600162,房地产业,K70
8,卧龙地产集团股份有限公司,600173,房地产业,K70
9,格力地产股份有限公司,600185,房地产业,K70
10,新湖中宝股份有限公司,600208,房地产业,K70
11,派斯林数字科技股份有限公司,600215,房地产业,K70
12,鲁商健康产业发展股份有限公司,600223,房地产业,K70
13,天津卓朗信息科技股份有限公司,600225,房地产业,K70
14,云南城投置业股份有限公司,600239,房地产业,K70
15,北京万通新发展集团股份有限公司,600246,房地产业,K70
16,北京城建投资发展股份有限公司,600266,房地产业,K70
17,天津市房地产发展(集团)股份有限公司,600322,房地产业,K70
18,珠海华发实业股份有限公司,600325,房地产业,K70
19,华夏幸福基业股份有限公司,600340,房地产业,K70
20,北京首都开发股份有限公司,600376,房地产业,K70
21,金地(集团)股份有限公司,600383,房地产业,K70
22,广州粤泰集团股份有限公司,600393,房地产业,K70
23,四川蓝光发展股份有限公司,600466,房地产业,K70
24,华丽家族股份有限公司,600503,房地产业,K70
25,黑牡丹(集团)股份有限公司,600510,房地产业,K70
26,海南机场设施股份有限公司,600515,房地产业,K70
27,南京栖霞建设股份有限公司,600533,房地产业,K70
28,重庆市迪马实业股份有限公司,600565,房地产业,K70
29,上海市北高新股份有限公司,600604,房地产业,K70
30,光大嘉宝股份有限公司,600622,房地产业,K70
31,上海新黄浦实业集团股份有限公司,600638,房地产业,K70
32,上海金桥出口加工区开发股份有限公司,600639,房地产业,K70
33,上海万业企业股份有限公司,600641,房地产业,K70
34,上海城投控股股份有限公司,600649,房地产业,K70
35,信达地产股份有限公司,600657,房地产业,K70
36,北京电子城高科技集团股份有限公司,600658,房地产业,K70
37,上海陆家嘴金融贸易区开发股份有限公司,600663,房地产业,K70
38,天地源股份有限公司,600665,房地产业,K70
39,中华企业股份有限公司,600675,房地产业,K70
40,京投发展股份有限公司,600683,房地产业,K70
41,广州珠江发展集团股份有限公司,600684,房地产业,K70
42,上海亚通股份有限公司,600692,房地产业,K70
43,光明房地产集团股份有限公司,600708,房地产业,K70
44,江苏凤凰置业投资股份有限公司,600716,房地产业,K70
45,苏州新区高新技术产业股份有限公司,600736,房地产业,K70
46,华远地产股份有限公司,600743,房地产业,K70
47,上海实业发展股份有限公司,600748,房地产业,K70
48,西藏城市发展投资股份有限公司,600773,房地产业,K70
49,京能置业股份有限公司,600791,房地产业,K70
50,济南高新发展股份有限公司,600807,房地产业,K70
51,上海世茂股份有限公司,600823,房地产业,K70
52,上海临港控股股份有限公司,600848,房地产业,K70
53,上海张江高科技园区开发股份有限公司,600895,房地产业,K70
54,新城控股集团股份有限公司,601155,房地产业,K70
55,中新苏州工业园区开发集团股份有限公司,601512,房地产业,K70
56,北京北辰实业股份有限公司,601588,房地产业,K70
57,南都物业服务集团股份有限公司,603506,房地产业,K70
58,上海凌云实业发展股份有限公司,900957,房地产业,K70
