,name,share_code,industry,industry_code
0,厦门象屿股份有限公司,600057,商务服务业,L72
1,浙江东日股份有限公司,600113,商务服务业,L72
2,中青旅控股股份有限公司,600138,商务服务业,L72
3,浙江中国小商品城集团股份有限公司,600415,商务服务业,L72
4,湖北九有投资股份有限公司,600462,商务服务业,L72
5,狮头科技发展股份有限公司,600539,商务服务业,L72
6,浙江中国轻纺城集团股份有限公司,600790,商务服务业,L72
7,东浩兰生会展集团股份有限公司,600826,商务服务业,L72
8,红星美凯龙家居集团股份有限公司,601828,商务服务业,L72
9,中国旅游集团中免股份有限公司,601888,商务服务业,L72
10,江苏万林现代物流股份有限公司,603117,商务服务业,L72
11,北京长久物流股份有限公司,603569,商务服务业,L72
12,引力传媒股份有限公司,603598,商务服务业,L72
13,上海畅联国际物流股份有限公司,603648,商务服务业,L72
14,上海锦和商业经营管理股份有限公司,603682,商务服务业,L72
15,上海龙韵文创科技集团股份有限公司,603729,商务服务业,L72
16,海程邦达供应链管理股份有限公司,603836,商务服务业,L72
17,三人行传媒集团股份有限公司,605168,商务服务业,L72
18,上海锦江国际旅游股份有限公司,900929,商务服务业,L72
