,name,share_code,industry,industry_code
0,中源协和细胞基因工程股份有限公司,600645,研究和试验发展,M73
1,新疆百花村医药集团股份有限公司,600721,研究和试验发展,M73
2,北京昭衍新药研究中心股份有限公司,603127,研究和试验发展,M73
3,无锡药明康德新药开发股份有限公司,603259,研究和试验发展,M73
4,江苏集萃药康生物科技股份有限公司,688046,研究和试验发展,M73
5,上海毕得医药科技股份有限公司,688073,研究和试验发展,M73
6,南京诺唯赞生物科技股份有限公司,688105,研究和试验发展,M73
7,上海皓元医药股份有限公司,688131,研究和试验发展,M73
8,上海泰坦科技股份有限公司,688133,研究和试验发展,M73
9,苏州近岸蛋白质科技股份有限公司,688137,研究和试验发展,M73
10,上海阿拉丁生化科技股份有限公司,688179,研究和试验发展,M73
11,上海美迪西生物医药股份有限公司,688202,研究和试验发展,M73
12,成都先导药物开发股份有限公司,688222,研究和试验发展,M73
13,和元生物技术(上海)股份有限公司,688238,研究和试验发展,M73
14,上海南方模式生物科技股份有限公司,688265,研究和试验发展,M73
15,上海奥浦迈生物科技股份有限公司,688293,研究和试验发展,M73
16,北京阳光诺和药物研究股份有限公司,688621,研究和试验发展,M73
