,name,share_code,industry,industry_code
0,青岛城市传媒股份有限公司,600229,新闻和出版业,R85
1,中文天地出版传媒集团股份有限公司,600373,新闻和出版业,R85
2,时代出版传媒股份有限公司,600551,新闻和出版业,R85
3,长江出版传媒股份有限公司,600757,新闻和出版业,R85
4,上海新华传媒股份有限公司,600825,新闻和出版业,R85
5,成都博瑞传播股份有限公司,600880,新闻和出版业,R85
6,山东出版传媒股份有限公司,601019,新闻和出版业,R85
7,中南出版传媒集团股份有限公司,601098,新闻和出版业,R85
8,安徽新华传媒股份有限公司,601801,新闻和出版业,R85
9,新华文轩出版传媒股份有限公司,601811,新闻和出版业,R85
10,中国科技出版传媒股份有限公司,601858,新闻和出版业,R85
11,南方出版传媒股份有限公司,601900,新闻和出版业,R85
12,浙江出版传媒股份有限公司,601921,新闻和出版业,R85
13,江苏凤凰出版传媒股份有限公司,601928,新闻和出版业,R85
14,中国出版传媒股份有限公司,601949,新闻和出版业,R85
15,北方联合出版传媒(集团)股份有限公司,601999,新闻和出版业,R85
16,新经典文化股份有限公司,603096,新闻和出版业,R85
17,内蒙古新华发行集团股份有限公司,603230,新闻和出版业,R85
18,读者出版传媒股份有限公司,603999,新闻和出版业,R85
19,黑龙江出版传媒股份有限公司,605577,新闻和出版业,R85
