,TOTAL_VALUE,NEGO_VALUE,TRADE_VOL,TRADE_AMT,AVG_PE_RATE,TOTAL_TO_RATE,NEGO_TO_RATE
2023-01-12,414306.2,379433.53,207.61,2350.66,11.96,0.5674,0.6195
2023-01-13,418995.69,383727.5,211.94,2491.81,12.09,0.5947,0.6494
2023-01-16,422909.59,388438.51,294.17,3549.67,12.21,0.8393,0.9138
2023-01-17,422191.87,387554.08,216.34,2543.39,12.18,0.6024,0.6563
2023-01-18,422122.47,387402.52,205.8,2276.79,12.18,0.5394,0.5877
2023-01-19,423737.37,388835.5,216.19,2498.48,12.23,0.5896,0.6426
2023-01-20,427222.73,391861.45,263.17,2832.4,12.32,0.663,0.7228
2023-01-30,427784.82,392391.5,338.72,3874.06,12.34,0.9056,0.9873
2023-01-31,426524.11,390980.22,288.37,3214.35,12.3,0.7536,0.8221
2023-02-01,430448.59,394195.78,326.63,3548.11,12.41,0.8243,0.9001
2023-02-02,430245.31,393926.34,320.35,3636.09,12.4,0.8451,0.923
2023-02-03,426999.09,390824.45,279.92,3214.9,12.31,0.7529,0.8226
2023-02-06,423964.34,388875.17,253.54,2897.03,12.22,0.6833,0.745
2023-02-07,425410.91,390159.42,237.74,2629.25,12.26,0.6181,0.6739
2023-02-08,423512.1,388655.7,223.01,2413.69,12.2,0.5699,0.621
2023-02-09,428000.1,392731.55,239.94,2866.16,12.33,0.6697,0.7298
2023-02-10,427038.49,391863.34,247.06,2765.81,12.3,0.6477,0.7058
2023-02-13,430260.98,394818.88,282.78,3312.54,12.39,0.7699,0.839
2023-02-14,431648.83,396113.34,258.56,2978.6,12.43,0.6901,0.752
2023-02-15,429713.6,394296.07,255.78,2946.89,12.37,0.6858,0.7474
2023-02-16,426222.64,390972.73,362.68,3931.99,12.28,0.9225,1.0057
2023-02-17,423436.17,388582.54,265.14,2997.02,12.19,0.7078,0.7713
2023-02-20,432686.31,396918.41,312.68,3437.83,12.47,0.7945,0.8661
2023-02-21,435122.21,399165.5,311.94,3384.21,12.54,0.7778,0.8478
2023-02-22,432856.11,397242.53,243.96,2738.93,12.47,0.6328,0.6895
2023-02-23,432285.87,396804.76,251.09,2863.95,12.46,0.6625,0.7218
2023-02-24,429603.25,394257.5,224.28,2631.54,12.38,0.6126,0.6675
2023-02-27,428616.58,393584.55,230.36,2728.88,12.35,0.6367,0.6933
2023-02-28,431641.86,396297.28,239.99,2665.54,12.44,0.6175,0.6726
2023-03-01,436197.88,400319.3,301.55,3254.36,12.57,0.7461,0.8129
2023-03-02,436370.08,401136.53,312.93,3302.67,12.57,0.7569,0.8233
2023-03-03,438898.6,403299.43,328.54,3301.48,12.65,0.7522,0.8186
2023-03-06,437216.99,401721.22,324.37,3647.7,12.59,0.8343,0.908
2023-03-07,432792.14,397757.44,373.42,3714.8,12.47,0.8583,0.9339
2023-03-08,432311.35,397083.5,246.75,2617.28,12.46,0.6054,0.6591
2023-03-09,431040.67,395701.81,249.84,2702.78,12.42,0.627,0.683
2023-03-10,424695.88,389804.31,266.09,2813.0,12.24,0.6624,0.7216
2023-03-13,430323.79,394788.74,279.79,3056.53,12.4,0.7103,0.7742
2023-03-14,426816.65,391632.51,301.17,3360.05,12.3,0.7872,0.858
2023-03-15,429579.0,394188.93,288.72,3042.21,12.37,0.7082,0.7718
2023-03-16,425153.42,390233.22,311.64,3305.01,12.25,0.7774,0.8469
2023-03-17,428348.43,393159.37,323.6,3491.91,12.34,0.8152,0.8882
2023-03-20,425829.77,391345.48,372.64,3921.83,12.27,0.921,1.0021
2023-03-21,428394.25,393600.03,288.07,3221.49,12.34,0.752,0.8185
2023-03-22,429841.58,394977.96,274.46,3070.61,12.38,0.7144,0.7774
2023-03-23,432310.4,397543.72,286.59,3344.05,12.46,0.7735,0.8412
2023-03-24,429210.7,394888.98,304.67,3397.28,12.37,0.7915,0.8603
2023-03-27,427012.77,392967.88,317.49,3605.33,12.31,0.8443,0.9175
2023-03-28,426950.27,392967.35,278.73,3176.07,12.31,0.7439,0.8082
2023-03-29,426685.64,391997.47,278.92,3187.83,12.29,0.7471,0.8132
2023-03-30,429611.87,395327.55,283.9,3233.64,12.37,0.7527,0.818
2023-03-31,430891.39,396517.82,267.51,3169.52,12.41,0.7356,0.7993
2023-04-03,433281.93,398575.49,335.12,4007.68,12.47,0.925,1.0055
2023-04-04,435765.59,400738.6,359.07,4221.5,12.55,0.9688,1.0534
2023-04-06,434893.48,400013.02,300.73,3695.07,12.52,0.8497,0.9237
2023-04-07,436314.58,401241.44,261.73,3240.93,12.56,0.7428,0.8077
2023-04-10,436289.64,400590.09,314.72,3845.6,12.55,0.8814,0.96
2023-04-11,436137.84,400727.94,299.51,3577.2,12.55,0.8202,0.8927
2023-04-12,437908.82,402109.91,322.29,3753.86,12.6,0.8572,0.9335
